No.,QRCODE,SLOT_NO,MAIN_LOADING_TIME,FIRST_IN_DATETIME,LAST_IN_DATETIME,QRCODE
1,A11F2S2642212643,5,2026-08-19 16:09,10:06.0,10:06.0,A11F2S2642212643
2,A11F2S2642212654,6,2026-08-19 16:09,10:06.0,10:06.0,A11F2S2642212654
3,A11F2S2642212639,4,2026-08-19 16:09,10:06.0,10:06.0,A11F2S2642212639
4,A11F2S2642211718,2,2026-08-19 16:09,10:06.0,10:06.0,A11F2S2642211718
5,A11F2S2642211706,3,2026-08-19 16:09,10:06.0,10:06.0,A11F2S2642211706
6,A11F2S2642211719,1,2026-08-19 16:09,10:06.0,10:06.0,A11F2S2642211719
7,A11F2S2642211712,3,2026-08-19 16:09,09:58.0,09:58.0,A11F2S2642211712
8,A11F2S2642211710,5,2026-08-19 16:09,09:58.0,09:58.0,A11F2S2642211710
9,A11F2S2642211724,2,2026-08-19 16:09,09:58.0,09:58.0,A11F2S2642211724
10,A11F2S2642211711,4,2026-08-19 16:09,09:58.0,09:58.0,A11F2S2642211711
11,A11F2S2642211708,6,2026-08-19 16:09,09:58.0,09:58.0,A11F2S2642211708
12,A11F2S2642211725,1,2026-08-19 16:09,09:58.0,09:58.0,A11F2S2642211725
13,A11F2S2642211702,1,2026-08-19 16:09,09:50.0,09:50.0,A11F2S2642211702
14,A11F2S2642211713,2,2026-08-19 16:09,09:50.0,09:50.0,A11F2S2642211713
15,A11F2S2642211699,4,2026-08-19 16:09,09:50.0,09:50.0,A11F2S2642211699
16,A11F2S2642211698,5,2026-08-19 16:09,09:50.0,09:50.0,A11F2S2642211698
17,A11F2S2642211700,3,2026-08-19 16:09,09:50.0,09:50.0,A11F2S2642211700
18,A11F2S2642211697,6,2026-08-19 16:09,09:50.0,09:50.0,A11F2S2642211697
19,A11F2S2642212658,2,2026-08-19 16:09,09:42.0,09:42.0,A11F2S2642212658
20,A11F2S2642211704,5,2026-08-19 16:09,09:42.0,09:42.0,A11F2S2642211704
21,A11F2S2642212659,1,2026-08-19 16:09,09:42.0,09:42.0,A11F2S2642212659
22,A11F2S2642212657,3,2026-08-19 16:09,09:42.0,09:42.0,A11F2S2642212657
23,A11F2S2642211705,4,2026-08-19 16:09,09:42.0,09:42.0,A11F2S2642211705
24,A11F2S2642211703,6,2026-08-19 16:09,09:42.0,09:42.0,A11F2S2642211703
25,A11F2S2642212661,3,2026-08-19 16:09,09:34.0,09:34.0,A11F2S2642212661
26,A11F2S2642212677,6,2026-08-19 16:09,09:34.0,09:34.0,A11F2S2642212677
27,A11F2S2642212672,4,2026-08-19 16:09,09:34.0,09:34.0,A11F2S2642212672
28,A11F2S2642212662,2,2026-08-19 16:09,09:34.0,09:34.0,A11F2S2642212662
29,A11F2S2642212678,5,2026-08-19 16:09,09:34.0,09:34.0,A11F2S2642212678
30,A11F2S2642212663,1,2026-08-19 16:09,09:34.0,09:34.0,A11F2S2642212663
31,A11F2S2642212651,2,2026-08-19 16:09,09:26.0,09:26.0,A11F2S2642212651
32,A11F2S2642212649,4,2026-08-19 16:09,09:26.0,09:26.0,A11F2S2642212649
33,A11F2S2642212655,5,2026-08-19 16:09,09:26.0,09:26.0,A11F2S2642212655
34,A11F2S2642212666,6,2026-08-19 16:09,09:26.0,09:26.0,A11F2S2642212666
35,A11F2S2642212650,3,2026-08-19 16:09,09:26.0,09:26.0,A11F2S2642212650
36,A11F2S2642212652,1,2026-08-19 16:09,09:26.0,09:26.0,A11F2S2642212652
37,A11F2S2642211850,3,2026-08-19 16:09,09:18.0,09:18.0,A11F2S2642211850
38,A11F2S2642211851,2,2026-08-19 16:09,09:18.0,09:18.0,A11F2S2642211851
39,A11F2S2642212656,4,2026-08-19 16:09,09:18.0,09:18.0,A11F2S2642212656
40,A11F2S2642212653,6,2026-08-19 16:09,09:18.0,09:18.0,A11F2S2642212653
41,A11F2S2642212671,5,2026-08-19 16:09,09:18.0,09:18.0,A11F2S2642212671
42,A11F2S2642211840,1,2026-08-19 16:09,09:18.0,09:18.0,A11F2S2642211840
43,A11F2S2642211846,1,2026-08-19 16:09,09:10.0,09:10.0,A11F2S2642211846
44,A11F2S2642211841,6,2026-08-19 16:09,09:10.0,09:10.0,A11F2S2642211841
45,A11F2S2642211842,5,2026-08-19 16:09,09:10.0,09:10.0,A11F2S2642211842
46,A11F2S2642211843,4,2026-08-19 16:09,09:10.0,09:10.0,A11F2S2642211843
47,A11F2S2642211856,3,2026-08-19 16:09,09:10.0,09:10.0,A11F2S2642211856
48,A11F2S2642211857,2,2026-08-19 16:09,09:10.0,09:10.0,A11F2S2642211857
49,A11F2S2642211831,5,2026-08-19 16:08,09:01.0,09:01.0,A11F2S2642211831
50,A11F2S2642211845,2,2026-08-19 16:08,09:01.0,09:01.0,A11F2S2642211845
51,A11F2S2642211834,1,2026-08-19 16:08,09:01.0,09:01.0,A11F2S2642211834
52,A11F2S2642211844,3,2026-08-19 16:08,09:01.0,09:01.0,A11F2S2642211844
53,A11F2S2642211829,6,2026-08-19 16:08,09:01.0,09:01.0,A11F2S2642211829
54,A11F2S2642211832,4,2026-08-19 16:08,09:01.0,09:01.0,A11F2S2642211832
55,A11F2S2642212050,3,2026-08-19 16:08,08:53.0,08:53.0,A11F2S2642212050
56,A11F2S2642211836,4,2026-08-19 16:08,08:53.0,08:53.0,A11F2S2642211836
57,A11F2S2642212051,2,2026-08-19 16:08,08:53.0,08:53.0,A11F2S2642212051
58,A11F2S2642212040,1,2026-08-19 16:08,08:53.0,08:53.0,A11F2S2642212040
59,A11F2S2642211835,6,2026-08-19 16:08,08:53.0,08:53.0,A11F2S2642211835
60,A11F2S2642211837,5,2026-08-19 16:08,08:53.0,08:53.0,A11F2S2642211837
61,A11F2S2642212057,1,2026-08-19 16:08,08:45.0,08:45.0,A11F2S2642212057
62,A11F2S2642212054,4,2026-08-19 16:08,08:45.0,08:45.0,A11F2S2642212054
63,A11F2S2642212056,2,2026-08-19 16:08,08:45.0,08:45.0,A11F2S2642212056
64,A11F2S2642212053,5,2026-08-19 16:08,08:45.0,08:45.0,A11F2S2642212053
65,A11F2S2642212041,6,2026-08-19 16:08,08:45.0,08:45.0,A11F2S2642212041
66,A11F2S2642212055,3,2026-08-19 16:08,08:45.0,08:45.0,A11F2S2642212055
67,A11F2S2642212034,1,2026-08-19 16:08,08:37.0,08:37.0,A11F2S2642212034
68,A11F2S2642212029,6,2026-08-19 16:08,08:37.0,08:37.0,A11F2S2642212029
69,A11F2S2642212044,3,2026-08-19 16:08,08:37.0,08:37.0,A11F2S2642212044
70,A11F2S2642212042,5,2026-08-19 16:08,08:37.0,08:37.0,A11F2S2642212042
71,A11F2S2642212043,4,2026-08-19 16:08,08:37.0,08:37.0,A11F2S2642212043
72,A11F2S2642212045,2,2026-08-19 16:08,08:37.0,08:37.0,A11F2S2642212045
73,A11F2S2642212624,1,2026-08-19 16:08,08:29.0,08:29.0,A11F2S2642212624
74,A11F2S2642212047,5,2026-08-19 16:08,08:29.0,08:29.0,A11F2S2642212047
75,A11F2S2642212049,4,2026-08-19 16:08,08:29.0,08:29.0,A11F2S2642212049
76,A11F2S2642212623,2,2026-08-19 16:08,08:29.0,08:29.0,A11F2S2642212623
77,A11F2S2642212622,3,2026-08-19 16:08,08:29.0,08:29.0,A11F2S2642212622
78,A11F2S2642212035,6,2026-08-19 16:08,08:29.0,08:29.0,A11F2S2642212035
79,A11F2S2642212632,5,2026-08-19 16:08,08:20.0,08:20.0,A11F2S2642212632
80,A11F2S2642212627,3,2026-08-19 16:08,08:20.0,08:20.0,A11F2S2642212627
81,A11F2S2642212626,4,2026-08-19 16:08,08:20.0,08:20.0,A11F2S2642212626
82,A11F2S2642212628,2,2026-08-19 16:08,08:20.0,08:20.0,A11F2S2642212628
83,A11F2S2642212629,1,2026-08-19 16:08,08:20.0,08:20.0,A11F2S2642212629
84,A11F2S2642212631,6,2026-08-19 16:08,08:20.0,08:20.0,A11F2S2642212631
85,A11F2S2642212619,6,2026-08-19 16:08,08:12.0,08:12.0,A11F2S2642212619
86,A11F2S2642212615,3,2026-08-19 16:08,08:12.0,08:12.0,A11F2S2642212615
87,A11F2S2642212620,5,2026-08-19 16:08,08:12.0,08:12.0,A11F2S2642212620
88,A11F2S2642212614,4,2026-08-19 16:08,08:12.0,08:12.0,A11F2S2642212614
89,A11F2S2642212617,1,2026-08-19 16:08,08:12.0,08:12.0,A11F2S2642212617
